longitude,latitude,zipcode
-174.19628,52.227555,99547
-176.63675,51.87957,99546
-169.55958,56.605546,99591
-169.19469,52.785684,99638
-166.52287,53.872017,99685
-170.27203,57.130894,99660
-166.5485,53.883729,99692
-170.7716,-7.209975,96799
-158.03543,21.501722,96786
-156.33158,20.865115,96768
-157.92556,21.6485,96762
-168.021815,24.859832,96847
-168.021815,24.859832,96837
-155.21012,19.447717,96785
-155.78664,20.222668,96755
-155.76114,19.101978,96737
-155.25963,19.983584,96764
-157.74772,21.439867,96863
-155.2086,19.946758,96780
-168.021815,24.859832,96836
-168.021815,24.859832,96849
-156.45769,20.771418,96753
-157.87926,21.501854,96744
-168.021815,24.859832,96839
-157.74529,21.3949,96734
-155.10649,19.800318,96781
-155.845329,19.278298,96726
-159.7187,21.997746,96796
-168.021815,24.859832,96843
-158.01389,21.403487,96797
-156.34031,20.724391,96790
-159.37746,21.98081,96766
-155.88338,19.307543,96704
-158.06446,21.4603,96759
-155.18112,19.942301,96773
-158.08174,21.3017,96862
-155.243925,19.44707,96385
-159.4896,22.208401,96714
-157.80575,21.41345,96477
-158.08587,21.345535,96707
-156.46579,20.883951,96732
-168.021815,24.859832,96807
-168.021815,24.859832,96858
-159.31765,22.148133,96703
-155.78634,19.947774,96738
-155.31153,19.996769,96774
-157.95903,21.68762,96731
-168.021815,24.859832,96842
-155.15249,19.857045,96710
-156.646667,20.866638,96733
-159.31283,22.111837,96751
-159.4776,21.999721,96741
-157.08588,21.168775,96729
-159.512392,21.979991,96715
-168.021815,24.859832,96898
-155.37514,20.022513,96776
-168.021815,24.859832,96812
-168.021815,24.859832,96838
-158.02499,21.338055,96706
-168.021815,24.859832,96845
-155.238743,19.433152,96885
-157.03622,21.156174,96757
-155.26648,19.435739,96718
-159.49025,22.223635,96722
-159.499342,21.930922,96765
-157.70599,21.33743,96795
-168.021815,24.859832,96828
-155.84459,20.241109,96719
-157.85108,21.554467,96730
-159.71766,21.97313,96752
-159.40787,22.212733,96754
-168.021815,24.859832,96811
-157.88165,21.3452,96819
-156.646667,20.866638,96767
-159.65981,21.946244,96769
-168.021815,24.859832,96827
-168.021815,24.859832,96848
-157.84777,21.300167,96814
-157.69721,21.2946,96825
-156.646667,20.866638,96784
-157.1977,21.15058,96770
-155.05686,19.5604,96760
-157.9669,21.408333,96782
-159.62428,21.920292,96747
-168.021815,24.859832,96861
-155.11305,19.516132,96771
-155.51679,20.089087,96727
-168.021815,24.859832,96835
-157.85913,21.3307,96817
-155.97588,19.675386,96740
-168.021815,24.859832,96804
-154.9266,19.494625,96778
-155.49217,19.226749,96777
-168.021815,24.859832,96809
-155.438015,19.593456,96775
-158.07448,21.630633,96712
-156.38202,20.906999,96779
-157.75456,21.287967,96821
-155.58738,19.110687,96772
-168.021815,24.859832,96810
-164.701172,23.573339,96709
-156.9818,21.191665,96742
-155.438015,19.593456,96745
-159.59407,21.917153,96716
-157.996233,21.703,96371
-168.021815,24.859832,96844
-168.021815,24.859832,96820
-156.9741,21.111246,96748
-168.021815,24.859832,96830
-168.021815,24.859832,96802
-168.021815,24.859832,96853
-155.798594,19.112099,96373
-156.03893,20.739217,96713
-158.13489,21.572131,96791
-157.93091,21.389167,96701
-168.021815,24.859832,96857
-157.83066,21.2951,96826
-156.50497,20.889294,96793
-157.82195,21.31275,96822
-168.021815,24.859832,96824
-155.9215,19.526845,96750
-159.58222,21.910767,96705
-156.325923,20.855864,96788
-155.12172,19.866007,96728
-157.96316,21.36425,96818
-168.021815,24.859832,96846
-155.09842,19.713562,96720
-155.10548,19.843259,96783
-156.27315,20.899634,96708
-157.90949,21.60625,96717
-168.021815,24.859832,96801
-155.438015,19.593456,96721
-158.17092,21.434246,96792
-155.7478,19.410727,96725
-155.438015,19.593456,96739
-168.021815,24.859832,96806
-156.65765,20.913335,96761
-168.021815,24.859832,96823
-156.9274,20.823607,96763
-168.021815,24.859832,96841
-155.01121,19.625495,96749
-168.021815,24.859832,96805
-158.0116,21.459206000000002,96789
-157.85615,21.313033,96813
-155.69999,20.040191,96743
-168.021815,24.859832,96840
-168.021815,24.859832,96860
-168.021815,24.859832,96803
-159.48044,21.910013,96756
-168.021815,24.859832,96859
-168.021815,24.859832,96850
-168.021815,24.859832,96854
-159.34463,22.077472,96746
-157.79925,21.284,96816
-157.82199,21.2782,96815
-168.021815,24.859832,96808
-166.09619,61.52898,99604
-149.74633,61.204466,99504
-151.06473,60.784804,99635
-131.46633,55.875767,99950
-165.53972,61.783788,99662
-156.88828,66.908604,99751
-150.50318,65.021337,99756
-162.43712,60.898967,99641
-158.88072,61.570981,99557
-134.57222,57.48765,99820
-148.02197,64.842326,99725
-162.8834,61.93605,99650
-149.77311,61.101142,99516
-166.51023,65.342744,99785
-151.3934,60.23458,99568
-149.62708,60.911003,99605
-149.808426,61.203954,99512
-145.52768,68.121828,99722
-141.87489,64.070738,99732
-161.59999,59.125873,99589
-146.898195,64.874591,99716
-149.88335,61.156565,99518
-160.50353,59.101934,99678
-152.46085,57.929664,99644
-149.88617,61.214877,99513
-150.57485,61.402544,99695
-170.4087,63.686037999999996,99769
